date,요일,포도_거래량(kg),포도_가격(원/kg),망고_거래량(kg),망고_가격(원/kg),체리_거래량(kg),체리_가격(원/kg),레몬_거래량(kg),레몬_가격(원/kg),블루베리_거래량(kg),블루베리_가격(원/kg),수박_거래량(kg),수박_가격(원/kg),딸기_거래량(kg),딸기_가격(원/kg),메론_거래량(kg),메론_가격(원/kg),사과_거래량(kg),사과_가격(원/kg),참외_거래량(kg),참외_가격(원/kg),감귤_거래량(kg),감귤_가격(원/kg),바나나_거래량(kg),바나나_가격(원/kg),복숭아_거래량(kg),복숭아_가격(원/kg),참다래(키위)_거래량(kg),참다래(키위)_가격(원/kg),자두_거래량(kg),자두_가격(원/kg),파인애플_거래량(kg),파인애플_가격(원/kg)
2020-02-10,월요일,25431.300000000003,7066.007990153865,26629.0,5341.36467760712,5638.0,12140.439872295141,11599.4,2788.7304515750816,3347.0,10519.390498954288,60851.5,2228.0552492543325,503771.9,7930.546542988999,20862.0,3311.314830792829,962372.0,1670.0031692526384,44590.0,4761.814532406369,1484283.8,1843.256361081351,515251.21,1546.3975717786282,1240.0,1562.9032258064517,65870.4,2745.318079137215,0.0,0.0,52627.0,1225.3548558724608
2020-02-11,화요일,57251.0,6858.924210930813,27642.0,5660.051371101947,9599.0,11679.007188248775,10674.4,3000.907966724125,4403.45,7102.188057091599,41045.5,2429.603488811197,509641.89999999997,7734.959129145387,19396.0,3294.523097545886,869353.8,1588.741430704047,41489.0,5133.960326833619,1173950.5,1915.7300976489214,626929.2,1502.410527376935,1860.0,1621.774193548387,31428.0,3038.158011963854,52.0,6384.615384615385,70852.6,1368.4327745206244
2020-02-12,수요일,81861.9,6154.039595953674,26219.0,5206.71993592433,9233.0,13250.785226903497,16782.66,2862.403099389489,2005.6,9607.598723573994,32404.0,2423.59270460437,410542.0,7616.757067486396,9494.0,5209.740888982516,944033.0,1609.4741391455595,41712.8,4849.0273968661895,1159799.5,1931.83444379826,430709.2,1606.5403339422514,0.0,0.0,37914.3,3463.4636535555182,127.0,7717.322834645669,110379.0,1448.0245336522346
2020-02-13,목요일,49428.3,6612.232263703182,31756.0,4706.553974052148,4225.0,12962.049704142011,15145.5,2839.793337955168,4535.3,12050.867638303971,32833.0,2572.40550665489,409888.60000000003,7640.880266003982,8341.0,5409.091236062823,664782.0,1488.6803493476057,50308.0,5024.0474675995865,1020593.0,1865.229002158549,434483.5,1520.0420038965806,50.0,2800.0,26601.0,3373.5502424720876,0.0,0.0,61176.5,1450.4363603671345
2020-02-14,금요일,33313.5,6232.864574421781,29443.0,5478.2359134599055,4439.0,13758.72944356837,3911.2,3026.4471262016773,1630.2,11552.87694761379,44308.5,2424.8384395770563,583621.0,7635.864720426441,10699.0,4223.905037854005,1001477.0,1572.1957668523592,65517.0,5160.1889585909,1006294.5,1855.4957778264713,464225.10000000003,1572.781027996978,0.0,0.0,37686.4,2586.182283263989,47.0,7638.297872340426,68467.5,1400.898236389528
2020-02-15,토요일,30083.0,6664.242263072167,22207.0,5155.831494573783,1880.0,12369.175531914894,1533.8,2771.4891120093885,982.0,18449.79633401222,17768.0,2348.6762719495723,631784.75,7713.964684965885,10133.0,4067.2693180696733,305079.8,1516.2141118487689,64602.0,5156.559084858054,904462.5,1971.543143026936,245672.7,1562.6227496990914,60.0,2933.3333333333335,23301.0,3137.710827861465,0.0,0.0,48878.0,1406.2750112525061
2020-02-17,월요일,51316.5,5652.571784903491,40592.0,4977.578611549074,8775.0,10786.758974358974,14187.04,2822.4767816260473,4098.4,7748.194417333594,45145.0,2518.221065455754,765125.7999999999,6836.812037968136,23786.0,3987.3782897502733,873828.6,1639.3579358698034,121120.0,5055.068857331572,1112611.5,2144.516607998389,498149.6,1511.455695236933,0.0,0.0,55009.5,2864.7442714440235,47.0,7402.127659574468,63892.0,1296.2882677017467
2020-02-18,화요일,48021.5,6097.479878804285,22419.0,5654.457379900977,3565.0,14481.556802244038,7825.0,2799.7137380191693,2952.6,10661.132561132561,25235.0,2441.3031107588668,693617.1900000001,6005.175963127442,14934.0,4477.383152537833,631523.0,1692.0663222083756,92016.0,4818.979307946444,803139.6,2151.6876916541037,537254.3,1477.1025750747829,145.0,6758.620689655172,22736.4,2992.1139670308403,0.0,0.0,108501.5,1438.7377133035027
2020-02-19,수요일,33010.6,6077.190054103834,18385.0,5291.362523796573,1386.0,14849.033189033189,14506.9,2761.532098518636,1034.1,10477.129871385747,26345.5,2633.015885065761,578656.5,5768.0235424643115,11166.5,4319.632830340752,882917.9,1696.9948157127633,74684.0,4794.037544855659,832217.9,2335.939073168217,367873.18,1611.2426298649987,10.0,2500.0,38868.0,2887.2723062673663,0.0,0.0,69506.0,1497.651425776192
2020-02-20,목요일,62554.7,5608.661379560609,35393.0,5014.570395275902,2690.0,13518.810408921932,9216.960000000001,2942.0426040690204,729.8,20197.73910660455,43673.0,2497.275204359673,499056.7,5882.972936742458,16526.5,3009.484766889541,914175.0,1506.0547488172397,90235.0,4726.600986313515,655209.2999999999,2409.1737403605234,422079.7,1600.5201150398846,0.0,0.0,30466.6,3007.1809785141763,0.0,0.0,80877.0,1464.3044376027794
2020-02-21,금요일,54846.3,5877.838906179632,32229.0,5850.172205156847,1992.0,13292.670682730924,8365.7,2962.7861386375316,1233.0,10966.747769667478,43309.0,2788.9843219654113,655096.7,6181.150553803736,8430.0,4257.651245551601,976089.0,1621.8653729321813,116837.0,4830.537415373555,654894.1,2544.6308739077053,384819.7,1558.4787109391748,30.0,2600.0,35984.5,2527.5132348650113,0.0,0.0,50712.0,1547.2333964347688
2020-02-22,토요일,25538.999999999996,7055.6795489251745,13113.0,5069.223671166019,1970.0,12143.248730964468,2197.96,2841.982565651786,414.3,29010.81342022689,32343.0,2678.885693967783,727528.7,6368.610709103297,10699.0,4437.951210393495,281559.0,1580.7606931406917,139786.6,4711.552466402359,699001.2,2650.3892124934837,293330.3,1639.4153280448695,40.0,3500.0,17302.0,2462.946480175702,35.0,7222.857142857143,21964.0,1639.2187215443453
2020-02-24,월요일,56112.4,5334.640988444622,29956.0,4637.581953531847,3255.0,10928.648233486943,14876.22,2326.8158174590053,808.0,12047.772277227723,72433.0,2604.5033617273893,827743.8999999999,6137.637974740739,14662.0,3522.5794570999865,924878.5,1687.9536176914048,208561.0,4620.668725217083,897118.4,2826.251344304163,639662.8,1492.6675273284611,2459.0,1658.8043920292803,51755.0,2607.9799053231573,21.0,6666.666666666667,94981.0,1374.7817984649562
2020-02-25,화요일,47590.8,5886.727476739201,19553.0,4893.985066230246,331.0,15096.19335347432,11010.0,2842.8895549500453,383.6,24880.865484880083,34218.0,2520.6151733006022,723843.93,5578.286945087734,11116.5,4993.303647730851,682056.5,1754.6021993779107,109962.0,4621.837907640821,647280.1,2957.725142484683,349391.8,1684.2002016074791,0.0,0.0,26537.5,2931.983042863872,116.0,4705.172413793103,52253.5,1416.0477288602676
2020-02-26,수요일,90292.9,5689.248833518472,38279.5,5350.493083765462,3291.0,16079.155271953814,9581.0,3064.0642939150403,809.0,13747.095179233622,34698.0,2602.045939247219,602268.1199999999,5532.239411908438,8840.0,4145.531674208145,693549.2,1863.499835339728,107390.0,4687.765155042369,675039.5,3062.141231735328,492792.8,1618.8889935080222,3832.0,2066.283924843424,24586.5,2915.0184044089237,0.0,0.0,79207.5,1521.0996433418552
2020-02-27,목요일,49775.5,5493.5747908107405,26265.0,4786.871882733676,262.0,16029.198473282442,12362.5,2903.77350859454,3494.9999999999995,17240.54363376252,33163.5,2446.535317442369,560971.5,5944.3064665495485,10874.0,3896.402427809454,843692.0,1772.2096333733164,103909.0,5101.961908978048,563836.0,3099.398637192375,500743.3,1668.6137787565006,110.0,2381.818181818182,40506.0,3042.313484422061,39.0,7112.820512820513,67019.5,1412.712717940301
2020-02-28,금요일,39117.5,5701.764581069853,22409.0,5737.748226159132,1483.0,18354.686446392447,6099.9,2729.7168806046,519.5,9982.675649663137,45998.0,2603.3024044523677,613675.0,6451.3617892206785,18432.0,3866.382378472222,759201.0,1870.4634740997444,109568.0,5189.273327978972,654761.0,3262.7770407828198,277051.8,1768.5811461972094,20.0,3800.0,34735.6,2703.912412625664,0.0,0.0,58066.0,1318.4669169565666
2020-02-29,토요일,57123.399999999994,5529.555313584276,24361.0,5274.129551332047,4275.0,17347.087719298244,3593.6,2862.86036286732,2290.35,20770.18796253848,21648.0,2443.9227642276423,682832.5,6933.843702518553,5043.0,4377.949633154868,242696.0,1915.11619474569,120475.2,5422.902555878721,580330.5,3200.8534274865788,488828.10000000003,1599.5567153361274,1040.0,3048.846153846154,18127.0,2619.8764274286973,130.0,6083.846153846154,41408.0,1288.8427357032458
2020-03-02,월요일,78386.3,5232.684282840241,33610.0,4787.0544480809285,2969.0,13162.748400134726,18551.8,2688.29870955918,2175.6,22024.521970950544,69939.0,2400.9682723516207,726537.9,6318.741673352484,21189.0,4683.369672943509,1230173.5,2007.1184267910178,182144.2,5316.343754014676,680158.5,3441.754358726679,781979.7,1644.5885615700768,3600.0,2346.25,45534.5,2735.2205470577255,0.0,0.0,120297.0,1368.434374922068
2020-03-03,화요일,64756.9,5144.744421057833,35627.0,5358.671793864204,1327.0,13499.811605124341,12448.0,2725.955976863753,365.5,28112.558139534885,38010.0,2298.4546172059986,625670.0,6148.411304681382,15241.3,3995.31076745422,1104418.0,1954.4498912549416,117047.2,5373.448830898988,478041.7,3392.800439794269,594803.25,1759.9921318520032,2415.0,2675.3209109730847,35138.6,3037.019403163473,47.0,6508.510638297872,78028.0,1399.6014251294407
2020-03-04,수요일,107693.3,4678.837216428506,20650.0,4920.169491525424,282.0,14861.702127659575,10061.1,3123.3125602568307,3394.8,9339.22469659479,44494.0,2294.095967995685,540424.0,6007.504996077154,15631.0,3969.067877934873,1178115.0,1821.6096900557245,125623.3,5448.401530607777,424021.7,3442.4509736176237,394157.6,1752.3595840851478,8432.0,1943.7974383301707,37269.2,2953.5487748596697,93.0,4624.731182795699,68605.0,1354.4542380292983
2020-03-05,목요일,84146.20000000001,4496.698840827036,41789.5,5200.577417772407,492.0,12484.654471544716,14398.0,2941.6793999166553,3178.8999999999996,9009.512724527352,41745.0,2188.3583662714095,565572.3,5839.2214399467575,4950.0,4548.50505050505,1168666.0,1793.7470414985976,141998.2,5267.595082191182,365309.2,3510.2338347898162,387048.5,1730.168389749605,1410.0,2055.531914893617,33198.9,3152.8854871697554,0.0,0.0,28472.0,1440.9612953076708
